once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	8
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	The options are as follows	0	7
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	1. You don't agree with what is going on and stop supporting it.	0	6
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	5
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	4
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	I suspect this way of looking at it is still somewhat simplistic however	0	2
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	I personally don't see any distinction between my pet dog and a chicken.	0	1
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	3
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	Probably not even a bolt to the brain either.	0	4
once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.	I agree that synthetic meat would be absolutely amazing though!	0	5
I personally don't see any distinction between my pet dog and a chicken.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	9
I personally don't see any distinction between my pet dog and a chicken.	I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered	1	2
I personally don't see any distinction between my pet dog and a chicken.	I do see a distinction between a pet and livestock	0	5
I personally don't see any distinction between my pet dog and a chicken.	Chickens simply aren't.	0	9
I personally don't see any distinction between my pet dog and a chicken.	I wouldn't want to witness it	0	13
I personally don't see any distinction between my pet dog and a chicken.	I would accept that as a humane death (as humane as we can make death, anyway)	0	14
I personally don't see any distinction between my pet dog and a chicken.	a better way would be a proper Brompton Cocktail	0	16
I personally don't see any distinction between my pet dog and a chicken.	here is the big problem I have	0	18
I personally don't see any distinction between my pet dog and a chicken.	It is literally impossible for me to live without other things dying.	0	19
I personally don't see any distinction between my pet dog and a chicken.	I wish it weren't so	0	20
I personally don't see any distinction between my pet dog and a chicken.	it is	0	21
I personally don't see any distinction between my pet dog and a chicken.	we wouldn't know what we were looking for	0	24
I personally don't see any distinction between my pet dog and a chicken.	when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	0	28
I personally don't see any distinction between my pet dog and a chicken.	So, I don't consider plants to be necessarily more moral.	0	29
I personally don't see any distinction between my pet dog and a chicken.	I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	0	30
I personally don't see any distinction between my pet dog and a chicken.	At the best	0	31
I personally don't see any distinction between my pet dog and a chicken.	At best	0	33
I personally don't see any distinction between my pet dog and a chicken.	we should be working to improve it	0	36
I personally don't see any distinction between my pet dog and a chicken.	future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian/vegan	0	38
I had to take my cat to be euthanised at the vet	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	10
I had to take my cat to be euthanised at the vet	I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered	0	3
I had to take my cat to be euthanised at the vet	I do see a distinction between a pet and livestock	0	4
I had to take my cat to be euthanised at the vet	Chickens simply aren't.	0	8
I had to take my cat to be euthanised at the vet	I wouldn't want to witness it	0	12
I had to take my cat to be euthanised at the vet	I would accept that as a humane death (as humane as we can make death, anyway)	0	13
I had to take my cat to be euthanised at the vet	a better way would be a proper Brompton Cocktail	0	15
I had to take my cat to be euthanised at the vet	here is the big problem I have	0	17
I had to take my cat to be euthanised at the vet	It is literally impossible for me to live without other things dying.	0	18
I had to take my cat to be euthanised at the vet	I wish it weren't so	0	19
I had to take my cat to be euthanised at the vet	it is	0	20
I had to take my cat to be euthanised at the vet	we wouldn't know what we were looking for	0	23
I had to take my cat to be euthanised at the vet	when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	0	27
I had to take my cat to be euthanised at the vet	So, I don't consider plants to be necessarily more moral.	0	28
I had to take my cat to be euthanised at the vet	I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	0	29
I had to take my cat to be euthanised at the vet	At the best	0	30
I had to take my cat to be euthanised at the vet	At best	0	32
I had to take my cat to be euthanised at the vet	we should be working to improve it	0	35
I had to take my cat to be euthanised at the vet	future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian/vegan	0	37
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	11
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered	1	4
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I do see a distinction between a pet and livestock	0	3
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	Chickens simply aren't.	0	7
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I wouldn't want to witness it	0	11
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I would accept that as a humane death (as humane as we can make death, anyway)	0	12
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	a better way would be a proper Brompton Cocktail	0	14
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	here is the big problem I have	0	16
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	It is literally impossible for me to live without other things dying.	0	17
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I wish it weren't so	0	18
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	it is	0	19
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	we wouldn't know what we were looking for	0	22
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	0	26
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	So, I don't consider plants to be necessarily more moral.	0	27
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	0	28
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	At the best	0	29
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	At best	0	31
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	we should be working to improve it	0	34
I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian/vegan	0	36
Probably not even a bolt to the brain either.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	12
Probably not even a bolt to the brain either.	I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered	1	5
Probably not even a bolt to the brain either.	I do see a distinction between a pet and livestock	0	2
Probably not even a bolt to the brain either.	Chickens simply aren't.	0	6
Probably not even a bolt to the brain either.	I wouldn't want to witness it	0	10
Probably not even a bolt to the brain either.	I would accept that as a humane death (as humane as we can make death, anyway)	0	11
Probably not even a bolt to the brain either.	a better way would be a proper Brompton Cocktail	0	13
Probably not even a bolt to the brain either.	here is the big problem I have	0	15
Probably not even a bolt to the brain either.	It is literally impossible for me to live without other things dying.	0	16
Probably not even a bolt to the brain either.	I wish it weren't so	0	17
Probably not even a bolt to the brain either.	it is	0	18
Probably not even a bolt to the brain either.	we wouldn't know what we were looking for	0	21
Probably not even a bolt to the brain either.	when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	0	25
Probably not even a bolt to the brain either.	So, I don't consider plants to be necessarily more moral.	0	26
Probably not even a bolt to the brain either.	I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	0	27
Probably not even a bolt to the brain either.	At the best	0	28
Probably not even a bolt to the brain either.	At best	0	30
Probably not even a bolt to the brain either.	we should be working to improve it	0	33
Probably not even a bolt to the brain either.	future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian/vegan	0	35
I agree that synthetic meat would be absolutely amazing though!	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	13
I agree that synthetic meat would be absolutely amazing though!	I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered	0	6
I agree that synthetic meat would be absolutely amazing though!	I do see a distinction between a pet and livestock	0	1
I agree that synthetic meat would be absolutely amazing though!	Chickens simply aren't.	0	5
I agree that synthetic meat would be absolutely amazing though!	I wouldn't want to witness it	0	9
I agree that synthetic meat would be absolutely amazing though!	I would accept that as a humane death (as humane as we can make death, anyway)	0	10
I agree that synthetic meat would be absolutely amazing though!	a better way would be a proper Brompton Cocktail	0	12
I agree that synthetic meat would be absolutely amazing though!	here is the big problem I have	0	14
I agree that synthetic meat would be absolutely amazing though!	It is literally impossible for me to live without other things dying.	0	15
I agree that synthetic meat would be absolutely amazing though!	I wish it weren't so	0	16
I agree that synthetic meat would be absolutely amazing though!	it is	0	17
I agree that synthetic meat would be absolutely amazing though!	we wouldn't know what we were looking for	0	20
I agree that synthetic meat would be absolutely amazing though!	when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	0	24
I agree that synthetic meat would be absolutely amazing though!	So, I don't consider plants to be necessarily more moral.	0	25
I agree that synthetic meat would be absolutely amazing though!	I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	0	26
I agree that synthetic meat would be absolutely amazing though!	At the best	0	27
I agree that synthetic meat would be absolutely amazing though!	At best	0	29
I agree that synthetic meat would be absolutely amazing though!	we should be working to improve it	0	32
I agree that synthetic meat would be absolutely amazing though!	future animals benefit more by my consumption of meat than they would if I was trying to go vegetarian/vegan	0	34
I do see a distinction between a pet and livestock	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	14
I do see a distinction between a pet and livestock	I personally don't see any distinction between my pet dog and a chicken.	1	5
I do see a distinction between a pet and livestock	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	3
I do see a distinction between a pet and livestock	Probably not even a bolt to the brain either.	0	2
I do see a distinction between a pet and livestock	I agree that synthetic meat would be absolutely amazing though!	0	1
I do see a distinction between a pet and livestock	I may have a different stance on seeing no difference between companion animals and farm animals	0	34
I do see a distinction between a pet and livestock	does not mean they suffer any differently to their wild cousins.	0	37
we domesticated those pet animals for the purpose of companionship	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	15
we domesticated those pet animals for the purpose of companionship	I personally don't see any distinction between my pet dog and a chicken.	0	6
we domesticated those pet animals for the purpose of companionship	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	4
we domesticated those pet animals for the purpose of companionship	Probably not even a bolt to the brain either.	0	3
we domesticated those pet animals for the purpose of companionship	I agree that synthetic meat would be absolutely amazing though!	0	2
we domesticated those pet animals for the purpose of companionship	I may have a different stance on seeing no difference between companion animals and farm animals	0	33
we domesticated those pet animals for the purpose of companionship	does not mean they suffer any differently to their wild cousins.	0	36
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	16
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	I personally don't see any distinction between my pet dog and a chicken.	0	7
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	5
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	Probably not even a bolt to the brain either.	0	4
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	I agree that synthetic meat would be absolutely amazing though!	0	3
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	I may have a different stance on seeing no difference between companion animals and farm animals	0	32
in the case of the dog, a symbiotic relationship involving feeding them scraps for protection against predators that their scent can pick up easier than our sight, particularly at night	does not mean they suffer any differently to their wild cousins.	0	35
bonded with them specifically because their utility functions are greater as companions than as meat	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	17
bonded with them specifically because their utility functions are greater as companions than as meat	I personally don't see any distinction between my pet dog and a chicken.	0	8
bonded with them specifically because their utility functions are greater as companions than as meat	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	6
bonded with them specifically because their utility functions are greater as companions than as meat	Probably not even a bolt to the brain either.	0	5
bonded with them specifically because their utility functions are greater as companions than as meat	I agree that synthetic meat would be absolutely amazing though!	0	4
bonded with them specifically because their utility functions are greater as companions than as meat	I may have a different stance on seeing no difference between companion animals and farm animals	0	31
bonded with them specifically because their utility functions are greater as companions than as meat	does not mean they suffer any differently to their wild cousins.	0	34
Chickens simply aren't.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	18
Chickens simply aren't.	I personally don't see any distinction between my pet dog and a chicken.	1	9
Chickens simply aren't.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	7
Chickens simply aren't.	Probably not even a bolt to the brain either.	0	6
Chickens simply aren't.	I agree that synthetic meat would be absolutely amazing though!	0	5
Chickens simply aren't.	I may have a different stance on seeing no difference between companion animals and farm animals	0	30
Chickens simply aren't.	does not mean they suffer any differently to their wild cousins.	0	33
Also, again, local farms and humane slaughtering, not factory farming.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	19
Also, again, local farms and humane slaughtering, not factory farming.	I personally don't see any distinction between my pet dog and a chicken.	0	10
Also, again, local farms and humane slaughtering, not factory farming.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	8
Also, again, local farms and humane slaughtering, not factory farming.	Probably not even a bolt to the brain either.	0	7
Also, again, local farms and humane slaughtering, not factory farming.	I agree that synthetic meat would be absolutely amazing though!	0	6
Also, again, local farms and humane slaughtering, not factory farming.	I may have a different stance on seeing no difference between companion animals and farm animals	0	29
Also, again, local farms and humane slaughtering, not factory farming.	does not mean they suffer any differently to their wild cousins.	0	32
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	20
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	I personally don't see any distinction between my pet dog and a chicken.	0	11
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	9
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	Probably not even a bolt to the brain either.	0	8
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	I agree that synthetic meat would be absolutely amazing though!	0	7
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	I may have a different stance on seeing no difference between companion animals and farm animals	0	28
As far as I'm aware, chickens at my local farm have their brains destroyed at the stem as quickly as possible while their head is chopped off.	does not mean they suffer any differently to their wild cousins.	0	31
Gory, but painless, as the pain center is instantly destroyed.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	21
Gory, but painless, as the pain center is instantly destroyed.	I personally don't see any distinction between my pet dog and a chicken.	0	12
Gory, but painless, as the pain center is instantly destroyed.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	10
Gory, but painless, as the pain center is instantly destroyed.	Probably not even a bolt to the brain either.	0	9
Gory, but painless, as the pain center is instantly destroyed.	I agree that synthetic meat would be absolutely amazing though!	0	8
Gory, but painless, as the pain center is instantly destroyed.	I may have a different stance on seeing no difference between companion animals and farm animals	0	27
Gory, but painless, as the pain center is instantly destroyed.	does not mean they suffer any differently to their wild cousins.	0	30
I wouldn't want to witness it	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	22
I wouldn't want to witness it	I personally don't see any distinction between my pet dog and a chicken.	0	13
I wouldn't want to witness it	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	1	11
I wouldn't want to witness it	Probably not even a bolt to the brain either.	0	10
I wouldn't want to witness it	I agree that synthetic meat would be absolutely amazing though!	0	9
I wouldn't want to witness it	I may have a different stance on seeing no difference between companion animals and farm animals	0	26
I wouldn't want to witness it	does not mean they suffer any differently to their wild cousins.	0	29
I would accept that as a humane death (as humane as we can make death, anyway)	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	23
I would accept that as a humane death (as humane as we can make death, anyway)	I personally don't see any distinction between my pet dog and a chicken.	0	14
I would accept that as a humane death (as humane as we can make death, anyway)	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	1	12
I would accept that as a humane death (as humane as we can make death, anyway)	Probably not even a bolt to the brain either.	0	11
I would accept that as a humane death (as humane as we can make death, anyway)	I agree that synthetic meat would be absolutely amazing though!	0	10
I would accept that as a humane death (as humane as we can make death, anyway)	I may have a different stance on seeing no difference between companion animals and farm animals	0	25
I would accept that as a humane death (as humane as we can make death, anyway)	does not mean they suffer any differently to their wild cousins.	0	28
it has as little pain as we can deliver.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	24
it has as little pain as we can deliver.	I personally don't see any distinction between my pet dog and a chicken.	0	15
it has as little pain as we can deliver.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	13
it has as little pain as we can deliver.	Probably not even a bolt to the brain either.	0	12
it has as little pain as we can deliver.	I agree that synthetic meat would be absolutely amazing though!	0	11
it has as little pain as we can deliver.	I may have a different stance on seeing no difference between companion animals and farm animals	0	24
it has as little pain as we can deliver.	does not mean they suffer any differently to their wild cousins.	0	27
a better way would be a proper Brompton Cocktail	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	25
a better way would be a proper Brompton Cocktail	I personally don't see any distinction between my pet dog and a chicken.	0	16
a better way would be a proper Brompton Cocktail	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	1	14
a better way would be a proper Brompton Cocktail	Probably not even a bolt to the brain either.	0	13
a better way would be a proper Brompton Cocktail	I agree that synthetic meat would be absolutely amazing though!	0	12
a better way would be a proper Brompton Cocktail	I may have a different stance on seeing no difference between companion animals and farm animals	0	23
a better way would be a proper Brompton Cocktail	does not mean they suffer any differently to their wild cousins.	0	26
that would taint meat, and so is unfeasible	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	26
that would taint meat, and so is unfeasible	I personally don't see any distinction between my pet dog and a chicken.	0	17
that would taint meat, and so is unfeasible	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	15
that would taint meat, and so is unfeasible	Probably not even a bolt to the brain either.	0	14
that would taint meat, and so is unfeasible	I agree that synthetic meat would be absolutely amazing though!	0	13
that would taint meat, and so is unfeasible	I may have a different stance on seeing no difference between companion animals and farm animals	0	22
that would taint meat, and so is unfeasible	does not mean they suffer any differently to their wild cousins.	0	25
here is the big problem I have	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	27
here is the big problem I have	I personally don't see any distinction between my pet dog and a chicken.	0	18
here is the big problem I have	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	16
here is the big problem I have	Probably not even a bolt to the brain either.	0	15
here is the big problem I have	I agree that synthetic meat would be absolutely amazing though!	0	14
here is the big problem I have	I may have a different stance on seeing no difference between companion animals and farm animals	0	21
here is the big problem I have	does not mean they suffer any differently to their wild cousins.	0	24
It is literally impossible for me to live without other things dying.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	28
It is literally impossible for me to live without other things dying.	I personally don't see any distinction between my pet dog and a chicken.	0	19
It is literally impossible for me to live without other things dying.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	17
It is literally impossible for me to live without other things dying.	Probably not even a bolt to the brain either.	0	16
It is literally impossible for me to live without other things dying.	I agree that synthetic meat would be absolutely amazing though!	0	15
It is literally impossible for me to live without other things dying.	I may have a different stance on seeing no difference between companion animals and farm animals	0	20
It is literally impossible for me to live without other things dying.	does not mean they suffer any differently to their wild cousins.	0	23
I wish it weren't so	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	29
I wish it weren't so	I personally don't see any distinction between my pet dog and a chicken.	0	20
I wish it weren't so	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	18
I wish it weren't so	Probably not even a bolt to the brain either.	0	17
I wish it weren't so	I agree that synthetic meat would be absolutely amazing though!	0	16
I wish it weren't so	I may have a different stance on seeing no difference between companion animals and farm animals	0	19
I wish it weren't so	does not mean they suffer any differently to their wild cousins.	0	22
it is	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	30
it is	I personally don't see any distinction between my pet dog and a chicken.	0	21
it is	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	19
it is	Probably not even a bolt to the brain either.	0	18
it is	I agree that synthetic meat would be absolutely amazing though!	0	17
it is	I may have a different stance on seeing no difference between companion animals and farm animals	0	18
it is	does not mean they suffer any differently to their wild cousins.	0	21
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	31
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	I personally don't see any distinction between my pet dog and a chicken.	0	22
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	20
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	Probably not even a bolt to the brain either.	0	19
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	I agree that synthetic meat would be absolutely amazing though!	0	18
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	I may have a different stance on seeing no difference between companion animals and farm animals	0	17
Carrots get eaten or boiled alive and we have no evidence that suggests, one way or another, if that is causing them suffering	does not mean they suffer any differently to their wild cousins.	0	20
their nervous system is sufficiently different from us	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	32
their nervous system is sufficiently different from us	I personally don't see any distinction between my pet dog and a chicken.	0	23
their nervous system is sufficiently different from us	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	21
their nervous system is sufficiently different from us	Probably not even a bolt to the brain either.	0	20
their nervous system is sufficiently different from us	I agree that synthetic meat would be absolutely amazing though!	0	19
their nervous system is sufficiently different from us	I may have a different stance on seeing no difference between companion animals and farm animals	0	16
their nervous system is sufficiently different from us	does not mean they suffer any differently to their wild cousins.	0	19
we wouldn't know what we were looking for	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	33
we wouldn't know what we were looking for	I personally don't see any distinction between my pet dog and a chicken.	0	24
we wouldn't know what we were looking for	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	22
we wouldn't know what we were looking for	Probably not even a bolt to the brain either.	0	21
we wouldn't know what we were looking for	I agree that synthetic meat would be absolutely amazing though!	0	20
we wouldn't know what we were looking for	I may have a different stance on seeing no difference between companion animals and farm animals	0	15
we wouldn't know what we were looking for	does not mean they suffer any differently to their wild cousins.	0	18
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	34
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	I personally don't see any distinction between my pet dog and a chicken.	0	25
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	23
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	Probably not even a bolt to the brain either.	0	22
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	I agree that synthetic meat would be absolutely amazing though!	0	21
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	I may have a different stance on seeing no difference between companion animals and farm animals	0	14
there are plants that emit pheromones to alert other plants of an impending insect-predator's presence and causes other plants in the area of the same type to activate defenses	does not mean they suffer any differently to their wild cousins.	0	17
other plants that will actively tense up in response to needle pricks	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	35
other plants that will actively tense up in response to needle pricks	I personally don't see any distinction between my pet dog and a chicken.	0	26
other plants that will actively tense up in response to needle pricks	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	24
other plants that will actively tense up in response to needle pricks	Probably not even a bolt to the brain either.	0	23
other plants that will actively tense up in response to needle pricks	I agree that synthetic meat would be absolutely amazing though!	0	22
other plants that will actively tense up in response to needle pricks	I may have a different stance on seeing no difference between companion animals and farm animals	0	13
other plants that will actively tense up in response to needle pricks	does not mean they suffer any differently to their wild cousins.	0	16
will stop responding when exposed to typical anasthetics	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	36
will stop responding when exposed to typical anasthetics	I personally don't see any distinction between my pet dog and a chicken.	0	27
will stop responding when exposed to typical anasthetics	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	25
will stop responding when exposed to typical anasthetics	Probably not even a bolt to the brain either.	0	24
will stop responding when exposed to typical anasthetics	I agree that synthetic meat would be absolutely amazing though!	0	23
will stop responding when exposed to typical anasthetics	I may have a different stance on seeing no difference between companion animals and farm animals	0	12
will stop responding when exposed to typical anasthetics	does not mean they suffer any differently to their wild cousins.	0	15
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	37
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	I personally don't see any distinction between my pet dog and a chicken.	0	28
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	26
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	Probably not even a bolt to the brain either.	0	25
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	I agree that synthetic meat would be absolutely amazing though!	0	24
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	I may have a different stance on seeing no difference between companion animals and farm animals	0	11
when plants behave in an animal-like manner, they can and do respond to some sort of pain stimuli.	does not mean they suffer any differently to their wild cousins.	0	14
So, I don't consider plants to be necessarily more moral.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	38
So, I don't consider plants to be necessarily more moral.	I personally don't see any distinction between my pet dog and a chicken.	0	29
So, I don't consider plants to be necessarily more moral.	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	0	27
So, I don't consider plants to be necessarily more moral.	Probably not even a bolt to the brain either.	0	26
So, I don't consider plants to be necessarily more moral.	I agree that synthetic meat would be absolutely amazing though!	0	25
So, I don't consider plants to be necessarily more moral.	I may have a different stance on seeing no difference between companion animals and farm animals	0	10
So, I don't consider plants to be necessarily more moral.	does not mean they suffer any differently to their wild cousins.	0	13
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	39
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	I personally don't see any distinction between my pet dog and a chicken.	0	30
I find death by human to be more humane than death by any other cause that most game or livestock animals could hope for	I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.	1	28
